Symbol,company,한국표준산업분류11차(대분류),한국표준산업분류11차(중분류),한국표준산업분류11차(소분류),한국표준산업분류11차(세분류),한국표준산업분류11차(세세분류)
A198940,한주라이트메탈,제조업,1차 금속 제조업,1차 비철금속 제조업,1차 비철금속 제조업,1차 비철금속 제조업
A078590,휴림에이텍,제조업,자동차 및 트레일러 제조업,자동차 신품 부품 제조업,자동차용 기타 신품 부품 제조업,그 외 자동차용 신품 부품 제조업
A354200,엔젠바이오,"전문, 과학 및 기술 서비스업","기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업","그 외 기타 전문, 과학 및 기술 서비스업"
A021650,한국큐빅,제조업,고무 및 플라스틱제품 제조업,플라스틱제품 제조업,기타 플라스틱제품 제조업,플라스틱 접착처리 제품 제조업
A024940,PN풍년,도매 및 소매업,도매 및 상품 중개업,생활용품 도매업,생활용품 도매업,생활용품 도매업
A038340,MIT,제조업,"전자부품, 컴퓨터, 영상, 음향 및 통신장비 제조업",전자부품 제조업,전자부품 제조업,전자부품 제조업
A067010,이씨에스,정보통신업,"컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업","컴퓨터 프로그래밍, 시스템 통합 및 관리업"
A131220,대한과학,도매 및 소매업,도매 및 상품 중개업,기계장비 및 관련 물품 도매업,기타 기계 및 장비 도매업,의료기기 도매업
A197140,디지캡,정보통신업,출판업,소프트웨어 개발 및 공급업,시스템ㆍ응용 소프트웨어 개발 및 공급업,시스템 소프트웨어 개발 및 공급업
A025880,케이씨피드,제조업,식료품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업,동물용 사료 및 조제식품 제조업
A032800,판타지오,"예술, 스포츠 및 여가관련 서비스업","창작, 예술 및 여가관련 서비스업",창작 및 예술관련 서비스업,창작 및 예술관련 서비스업,창작 및 예술관련 서비스업
